log_number,X_uuid,cluster_location_id,date_assessment,governorate_mcna_r,district_mcna,enumerator_num,question.name,issue,action,changed,old.value,Translation,new.value,flag_index
14,04c0f74a-3cf5-4b0d-9864-420466447822,14375,8/19/2020 0:00,NA,dibis,63,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,المدارس مغلقة من قبل الحكومة,the school is closed by the government,school_closed,1
15,04c0f74a-3cf5-4b0d-9864-420466447822,14375,8/19/2020 0:00,NA,dibis,63,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,المدارس مغلقة من قبل الحكومة,the school is closed by the government,school_closed,1
16,05f498ff-735d-4966-842d-3e2a1c75075d,14375,8/18/2020 0:00,NA,dibis,54,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب العمر,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
17,05f498ff-735d-4966-842d-3e2a1c75075d,14375,8/18/2020 0:00,NA,dibis,54,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب العمر,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
18,2112a6a9-2a59-427b-beb6-dfcc4d525e2a,14375,8/18/2020 0:00,NA,dibis,59,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,عمر صغير,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
19,2112a6a9-2a59-427b-beb6-dfcc4d525e2a,14375,8/18/2020 0:00,NA,dibis,59,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,عمر صغير,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
20,4eb7975c-2d8a-4577-8e1f-578461ca7299,14375,8/16/2020 0:00,NA,dibis,54,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب العمر,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
21,4eb7975c-2d8a-4577-8e1f-578461ca7299,14375,8/16/2020 0:00,NA,dibis,54,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب العمر,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
22,0b5e50a0-0a8c-4a51-8ca7-b4566e94dc94,14407,8/19/2020 0:00,NA,dibis,59,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,صغار العمر,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
23,b89ea3ed-2387-4d5f-bac1-d59584580d4e,14530,7/27/2020 0:00,NA,kirkuk,65,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب ضمور في الدماغ,because of brain damage,cannot_go_physically,1
24,535b5fc2-0d94-4d49-8607-e0ead1a29e23,14788,8/26/2020 0:00,NA,daquq,63,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,السن غير قانوني للتسجيل بلمدرسة,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
25,ee17eddf-148a-4bc4-b3bf-da95a1c67023,15264,9/7/2020 0:00,NA,al.hawiga,57,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب الامراض والاعاقه لا يمكن الذهاب الى المدرسه,"because of health stiuation and disability ,can't go to school",cannot_go_physically,1
26,827d2cd3-5673-49f6-93fb-fae45f201bbc,15449,8/25/2020 0:00,NA,dibis,63,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,ليسوا بسن القانوني للتسجيل بلمدارس,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
27,28748922-ce98-43bc-9660-5b16abc98eb9,15449,8/25/2020 0:00,NA,dibis,63,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,سن الطفل غير قانوني للتسجيل بلمدرسة,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
28,45fff979-962e-4f0a-8670-d014436fe0d2,15550,7/27/2020 0:00,NA,kirkuk,59,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,اطفال صغار,kids,cannot_go_physically,1
29,9a743392-000b-4bb3-ae09-f87a7cc4f96f,15674,8/23/2020 0:00,NA,dibis,55,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,ترك المدرسة بسبب الزواج, she left the school because she got married ,children_working,1
30,9a743392-000b-4bb3-ae09-f87a7cc4f96f,15674,8/23/2020 0:00,NA,dibis,55,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,ترك المدرسة بسبب الزواج, she left the school because she got married ,children_working,1
31,06a9adfb-bc49-460f-bd0c-7a5af0ef8566,17045,8/12/2020 0:00,NA,al.shikhan,87,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,منع من التسجيل من قبل المدرسة بسبب التاخر سنتين  عن السن القانوي للتسجيل وهي فترة النزوح نفسها .,"the school refused to register him,because he was two year late for registering at school .and that was the period of our displacement",impossible_to_enroll,1
33,3d04731a-4fa9-48f5-8091-a04daf2051fa,17333,8/7/2020 0:00,NA,al.shikhan,92,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,معوق,disable,cannot_go_physically,1
35,9892554f-2a27-450e-857a-6dc76641cc65,17734,8/9/2020 0:00,NA,aqra,87,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,6سنوات لم يبلغ سن التسجيل,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
36,49016079-8a79-4d5a-9d59-0df012c3c21a,17734,8/9/2020 0:00,NA,aqra,84,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,الاطفال لم يبلغو سن المدرسة,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
38,53871b47-50d8-487e-a2ac-0cf481e50211,17734,8/9/2020 0:00,NA,aqra,96,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,مرض,sick,cannot_go_physically,1
39,da839ffe-26af-491b-b4e4-fc409e48586a,17734,8/9/2020 0:00,NA,aqra,92,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,مرض,sick,cannot_go_physically,1
40,c408cd42-d974-43b6-977c-264090baf496,17875,8/12/2020 0:00,NA,al.shikhan,87,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,سيتم تسجيله في هذه السنة,next year will register ,to be enrolled next year,1
41,270e9b6a-1f9f-4a72-9823-8972a6fe5e3b,18199,8/8/2020 0:00,NA,al.shikhan,98,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,معاق,disable,cannot_go_physically,1
42,e62f084f-fbeb-49fb-834e-2b2424112642,18199,8/8/2020 0:00,NA,al.shikhan,96,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,صغيرة,little kids,cannot_go_physically,1
43,98766e1b-93b0-4164-b9bc-09efc0fdc62f,20720,8/4/2020 0:00,NA,beygee,73,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,ليس في سن الدراسه,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
44,22783883-08b7-4d4f-8c14-c26dd2b6df61,21016,7/27/2020 0:00,NA,kirkuk,59,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,صغار العمر,little kids,cannot_go_physically,1
45,7bbed905-cb3b-44ee-82fb-60e96f58050f,21702,8/13/2020 0:00,NA,kirkuk,65,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب المرض ضمور,sick,cannot_go_physically,1
48,887df4b1-b4dd-4c14-8faa-45992e38b7ab,24308,8/19/2020 0:00,NA,erbil,120,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,ماقبلو,the school refused to register him,impossible_to_enroll,1
49,461e98a6-2aa0-4b24-abf3-e140e29e1f80,24308,8/19/2020 0:00,NA,erbil,120,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,ماقبلو,the school refused to register him,impossible_to_enroll,1
51,2c04f093-1325-4a96-8e51-828c04b558b7,24580,8/10/2020 0:00,NA,aqra,91,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لايستطيع لانه معاق,disable,cannot_go_physically,1
52,8c81181a-9f8d-4050-9dbf-b929d0f8eafa,24628,7/29/2020 0:00,NA,duhok,92,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,مشاكل صحيه توحد,Autism,cannot_go_physically,1
53,6c49236a-2427-47ac-83f4-f7a2806a840a,24632,8/23/2020 0:00,NA,dibis,59,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,اطفال صغار,little kids,cannot_go_physically,1
54,e3e5ca0e-7ad4-4436-a6fe-f5723177f143,25739,8/27/2020 0:00,NA,daquq,59,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,اطفال دون سن الدراسه,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
55,8fc5fcdd-913a-4548-a317-ef6bd52b6315,25739,8/27/2020 0:00,NA,daquq,59,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,اطفال تحت سن الدراسه,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
56,34e25e92-26aa-4281-98ed-0398acc61b4d,25739,8/27/2020 0:00,NA,daquq,62,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب فارق العمر,because his age doesn't suit the grade that they specialized for him,curriculum,1
57,2dc9eabd-be2f-4ecb-baf5-7765056a7984,25739,8/27/2020 0:00,NA,daquq,59,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لا يشملهم السن الدراسي,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
58,51c12bd1-2f3e-4b17-99d7-dacb22ce9b91,25898,7/29/2020 0:00,NA,duhok,95,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,السن القانون,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
59,58abad0b-2698-48ca-aea9-0790424e255d,26085,9/9/2020 0:00,NA,al.falluja,19,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,كفيف,blind,cannot_go_physically,1
61,cf9c3007-5555-41b8-b38f-0bd935315502,31726,7/26/2020 0:00,NA,kirkuk,54,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب الضروف,their bad condictions,poor_infrastructure,1
62,cf9c3007-5555-41b8-b38f-0bd935315502,31726,7/26/2020 0:00,NA,kirkuk,54,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب الضروف,their bad condictions,poor_infrastructure,1
63,b565118c-f71c-431a-a2dc-7948a4430bfd,31727,7/27/2020 0:00,NA,kirkuk,62,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,الطفل معاق خلقيآ,disable,cannot_go_physically,1
64,b1f57983-9f8b-41ff-a262-8e9192562e06,31729,7/27/2020 0:00,NA,kirkuk,60,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لم يبلغ سن القانوني للتعليم,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
66,50818f7d-fc8e-4e9a-b329-91303ae9e215,33112,8/27/2020 0:00,NA,daquq,63,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,عدم وجود مدارس المتوسطة في القرية,there isn't any middle school in our village,school_closed,1
67,15e38003-fca6-4c7a-86a4-a97067772057,33476,8/26/2020 0:00,NA,daquq,58,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسب انتشار فيروس كورونا,because of COVID -19,COVID 19 related,1
68,8d4cea29-5eca-4dfc-b1bb-1fba9683cbd1,33476,8/25/2020 0:00,NA,daquq,59,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,معاق,disabled,cannot_go_physically,1
69,ec8b0a10-fbfd-43b7-b9f1-4988f948eb8b,33476,8/25/2020 0:00,NA,daquq,62,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب فارق العمر,because his age doesn't suit the grade that they specialized for him,curriculum,1
70,01f0f1b5-b4c1-47f9-9cc7-9d982eb8ceb8,33476,8/25/2020 0:00,NA,daquq,59,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,اطفال صغار,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
71,130f76bb-4db5-4090-874d-8254a5bd92f6,33476,8/25/2020 0:00,NA,daquq,62,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب فارق العمر,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
72,00ca6de7-2bd1-4537-8a13-4a8c4d7c3df0,33476,8/26/2020 0:00,NA,daquq,58,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسب انتشار فيروس كورونا سيتم تيجله هذا السنه,"because of COVID -19 ,so he will register next year",COVID 19 related,1
73,966875b0-d48f-4b8d-9216-3caff7f238a2,33476,8/25/2020 0:00,NA,daquq,62,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب فارق العمر,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
74,c085c4d0-40cb-4d79-be71-ea2d74e702e9,33477,8/24/2020 0:00,NA,daquq,62,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب فارق العمر,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
75,c085c4d0-40cb-4d79-be71-ea2d74e702e9,33477,8/24/2020 0:00,NA,daquq,62,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب فارق العمر,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
76,8b10c55b-274f-48b1-a157-a5459102ce07,33477,8/24/2020 0:00,NA,daquq,62,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب فارق العمر,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
77,8b10c55b-274f-48b1-a157-a5459102ce07,33477,8/24/2020 0:00,NA,daquq,62,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب فارق العمر,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
78,d845e291-1cd9-4082-8e25-240b17bcd4a2,33477,8/24/2020 0:00,NA,daquq,62,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب فارق العمر,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
79,d845e291-1cd9-4082-8e25-240b17bcd4a2,33477,8/24/2020 0:00,NA,daquq,62,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب فارق العمر,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
89,NA,NA,NA,NA,NA,3,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,اطفال تحت سن الدراسه,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
102,NA,NA,2/9/2020 0:00,NA,NA,4,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لم يصل إلى سن القانوني للتسجيل في المدرسة,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
125,NA,NA,6/9/2020 0:00,NA,NA,5,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب تفشي فايروس كورونا,because of COVID -19,COVID 19 related,1
126,NA,NA,6/9/2020 0:00,NA,NA,5,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,عدم بلوغ السن القانوني للطفل,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
138,07ffbb43-f4c6-43cb-a2fd-8ba9b06adaca,NA,7/20/2020 0:00,NA,al.najaf,7,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لا يوجد,no thing,NA,1
141,08bc1834-e91d-426c-ae37-aeac5401fd4f,NA,7/22/2020 0:00,NA,al.adhamiya,17,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لم يت تسجيله بسبب كرونا,because of COVID -19,COVID 19 related,1
142,02c84960-9649-4c80-8e48-66246436952b,NA,7/23/2020 0:00,NA,al.kadhmiyah,28,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,امراض عقليه,mentally retarded,cannot_go_physically,1
144,NA,NA,NA,NA,NA,18,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لم يتم العمر القانوني للتسجيل,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
148,38581953-45bf-4a11-83f1-b07bd78af535,NA,7/26/2020 0:00,NA,al.baaj,11,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,معوق عقليا,mentally retarded,cannot_go_physically,1
151,9d4e2545-9027-43e2-b71a-0fe0c6bbbbda,NA,7/26/2020 0:00,NA,al.sulaymaniyah,35,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,Marez,sick,cannot_go_physically,1
153,b25eba08-b0e1-4100-8020-daa61e36b7df,NA,7/26/2020 0:00,NA,al.karkh,17,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لم يتم تسجيله لسنه القانوني,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
249,NA,NA,NA,NA,NA,87,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,6سنوات سيتم تسجيلها هذا العام,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
264,404bbadc-721d-4d3e-9e2d-f6e3d9c11948,NA,7/30/2020 0:00,NA,derbendikhan,35,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,Marez,sick,cannot_go_physically,1
279,b06118b5-f8a5-4251-8f0f-34de50d4037d,NA,8/17/2020 0:00,NA,al.kufa,20,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,تزوجت وتركت الدراسة بعد الزواج مباشرة,marrige,children_working,1
337,df9d0718-20ba-4a93-b140-953fc92262ca,NA,8/9/2020 0:00,NA,tikrit,112,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,بسبب النزوح والحرب,war and displacement,not_safe,1
343,NA,NA,NA,NA,NA,96,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,مرض,sick,cannot_go_physically,1
359,NA,NA,NA,NA,NA,116,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,اقل من العمر المسموح,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
393,9725b976-1b07-4a6a-a02f-a7a4d2740474,NA,8/5/2020 0:00,NA,al.kaim,25,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لم يتم تسجيله,he didn't register ,impossible_to_enroll,1
453,NA,NA,NA,NA,NA,116,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,اقل من المسموح والثانية رفضت الدراسة, because his age is not suit to attend the grade which he should attend and also the school didn't agree to register him,impossible_to_enroll,1
540,58de6107-6c09-4b81-826e-a5d66b84449f,NA,8/6/2020 0:00,NA,dokan,33,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,سوف يرسل الى المدرسة عندما يبدأ دوام في العام الحالي,will be enrolled this upcoming school year.,impossible_to_enroll,1
751,NA,NA,NA,NA,NA,115,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,حاليأ لن يذهب الى مدرسة,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
752,NA,NA,NA,NA,NA,115,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,اقل من العمر المسموح,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
753,NA,NA,NA,NA,NA,115,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,العمر غير مسموح للدراسة,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
755,NA,NA,NA,NA,NA,115,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,العمر غير مشمول بالدراسة حاليأ,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
756,NA,NA,NA,NA,NA,115,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,العمر لا يسمح بالقبول في مدرسة حاليأ,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
840,3350c802-6a88-4de0-9591-e85978abf4bf,NA,8/17/2020 0:00,NA,al.kufa,19,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,الطفل معاق مرض في الدماغ وشلل,"disable, suffer from his brain and  Paralysis",cannot_go_physically,1
872,15090afa-b471-4c49-821a-da8f05f73e86,NA,8/9/2020 0:00,NA,tikrit,112,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,مريض,sick,cannot_go_physically,1
901,da8d8902-9b1e-4597-8e3f-a38bb1683a95,NA,8/9/2020 0:00,NA,tikrit,20,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,حالتها الصحية لاتسمح لها بالذهاب الى المدرسة كونها مشلولة شلل نصفي,her health situation that prevent her to attend (paralysis),cannot_go_physically,1
960,NA,NA,NA,NA,NA,2,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,عمر الطفل بداء قبل دخوله الى المدسه,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
1003,883cb7e6-df59-45a9-be1c-79036f74a289,NA,8/14/2020 0:00,NA,al.adhamiya,18,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لم يتم عمر الدراسة,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
1106,NA,NA,NA,NA,NA,95,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لم يبلغ السن القانوني,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
1170,NA,NA,NA,NA,NA,96,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,مريضة,sick,cannot_go_physically,1
1204,NA,NA,NA,NA,NA,116,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,اخبرو الأب حاليا لايمكن قبول الطفل الى السنة الدراسية الجديدة,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
1287,b0c7f4d4-e417-4acc-bc91-6d81db309276,NA,8/15/2020 0:00,NA,al.karkh,18,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لم يتم العمر القانوني للتسجيل في المدرسة,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
1310,NA,NA,NA,NA,NA,92,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,محروق,burn,not_safe,1
1399,NA,NA,NA,NA,NA,18,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لم يتم العمر القانوني للتسجيل,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
1421,NA,NA,NA,NA,NA,95,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لم يبلغ السن القانوني,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
1439,NA,NA,NA,NA,NA,116,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,اعمارهم اقل من المسموح,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
1445,NA,NA,NA,NA,NA,92,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,معوق,disable,cannot_go_physically,1
1493,NA,NA,NA,NA,NA,116,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,اقل من المسموح,the child didn't finish the 6th year of age which required to enrolled in the school.,impossible_to_enroll,1
1554,NA,NA,NA,NA,NA,116,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,الاب لم يرا انهم يصلحون للدراسة,his father disire that doesn't want him ti send because he thinks that he is lazy .,parental_refusal,1
1555,NA,NA,NA,NA,NA,116,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,لم يكن قبل تفشي الفيروس لكن ترك الدارسة بعد أحداث سنجار,the child left the school becose the conflect when ISIS took Sinjar long tim ago.,not_safe,1
1575,NA,NA,NA,NA,NA,35,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,Mauwaq,disable,cannot_go_physically,1
1727,NA,NA,NA,NA,NA,87,resons_not_attend_other,Flag if resons_not_attend_other is not NA,Translate,NA,سيتم تسجيلها خلال هذا العام,will be enrolled this upcoming school year.,to be enrolled next year,1
